行号,预测,标签
5050,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是鸡翅,根据垃圾分类的标准，应该属于厨余垃圾
"
5051,图中展示的物品是胶水，根据垃圾分类的标准，应该属于有害垃圾,"图中展示的物品是胶水,根据垃圾分类的标准，应该属于有害垃圾
"
5052,图中展示的物品是肉类，根据垃圾分类的标准，应该属于垃圾食品,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
5053,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
5054,图中展示的物品是{fruit}，根据垃圾分类的标准，应该属于{food},"图中展示的物品是番茄,根据垃圾分类的标准，应该属于厨余垃圾
"
5055,图中展示的物品是枕头，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是枕头,根据垃圾分类的标准，应该属于可回收物
"
5056,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是普通面包,根据垃圾分类的标准，应该属于厨余垃圾
"
5057,图中展示的物品是卫生纸，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是湿纸巾,根据垃圾分类的标准，应该属于其他垃圾
"
5058,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是茶叶罐,根据垃圾分类的标准，应该属于可回收物
"
5059,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物
"
5060,图中展示的物品是插座，根据垃圾分类的标准，应该属于电子垃圾。,"图中展示的物品是插线板,根据垃圾分类的标准，应该属于可回收物
"
5061,"图中展示的物品是[hand_towel],根据垃圾分类的标准，应该属于[garbage_type]手巾","图中展示的物品是湿纸巾,根据垃圾分类的标准，应该属于其他垃圾
"
5062,图中展示的物品是药品，根据垃圾分类的标准，应该属于垃圾类型：有害垃圾,"图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾
"
5063,图中展示的物品是牛肉，根据垃圾分类的标准，应该属于{food},"图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾
"
5064,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
5065,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是红花油,根据垃圾分类的标准，应该属于有害垃圾
"
5066,图中展示的物品是毛绒玩具，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是暖宝宝,根据垃圾分类的标准，应该属于可回收物
"
5067,图中展示的物品是车票，根据垃圾分类的标准，应该属于垃圾,"图中展示的物品是地铁票,根据垃圾分类的标准，应该属于可回收物
"
5068,图中展示的物品是报纸，根据垃圾分类的标准，应该属于垃圾纸,"图中展示的物品是报纸,根据垃圾分类的标准，应该属于可回收物
"
5069,图中展示的物品是废电池，根据垃圾分类的标准，应该属于有害垃圾。,"图中展示的物品是烟蒂,根据垃圾分类的标准，应该属于其他垃圾
"
5070,图中展示的物品是电池，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是电池,根据垃圾分类的标准，应该属于有害垃圾
"
5071,图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是水杯,根据垃圾分类的标准，应该属于可回收物
"
5072,"图中展示的物品是[thermos bottle],根据垃圾分类的标准，应该属于[recyclable]。","图中展示的物品是保温杯,根据垃圾分类的标准，应该属于可回收物
"
5073,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}厨余垃圾","图中展示的物品是蛋挞,根据垃圾分类的标准，应该属于厨余垃圾
"
5074,图中展示的物品是咖啡渣，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物
"
5075,图中展示的物品是糕点，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是蛋挞,根据垃圾分类的标准，应该属于厨余垃圾
"
5076,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是车钥匙,根据垃圾分类的标准，应该属于可回收物
"
5077,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}电子废弃物","图中展示的物品是网卡,根据垃圾分类的标准，应该属于可回收物
"
5078,图中展示的物品是塑料，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是纸箱,根据垃圾分类的标准，应该属于可回收物
"
5079,图中展示的物品是梳子，根据垃圾分类的标准，应该属于垃圾中的其他垃圾。,"图中展示的物品是木质梳子,根据垃圾分类的标准，应该属于可回收物
"
5080,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是拖鞋,根据垃圾分类的标准，应该属于可回收物
"
5081,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是八宝粥罐,根据垃圾分类的标准，应该属于可回收物
"
5082,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是尺子,根据垃圾分类的标准，应该属于可回收物
"
5083,图中展示的物品是纸杯，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是一次性杯子,根据垃圾分类的标准，应该属于其他垃圾
"
5084,图中展示的物品是玻璃杯，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
5085,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是打气筒,根据垃圾分类的标准，应该属于可回收物
"
5086,图中展示的物品是袜子，根据垃圾分类的标准，应该属于可回收垃圾,"图中展示的物品是袜子,根据垃圾分类的标准，应该属于可回收物
"
5087,坚果{garbage_type}坚果,"图中展示的物品是干果壳,根据垃圾分类的标准，应该属于其他垃圾
"
5088,"图中展示的物品是[钳子],[剪刀],[夹子],[塑料]，根据垃圾分类的标准，应该属于[其他垃圾]。","图中展示的物品是订书机,根据垃圾分类的标准，应该属于可回收物
"
5089,"图中展示的物品是花瓶,根据垃圾分类的标准，应该属于其他垃圾","图中展示的物品是拖鞋,根据垃圾分类的标准，应该属于可回收物
"
5090,图中展示的物品是砧板，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是木质梳子,根据垃圾分类的标准，应该属于可回收物
"
5091,图中展示的物品是干香菇，根据垃圾分类的标准，应该属于干垃圾。,"图中展示的物品是蘑菇,根据垃圾分类的标准，应该属于厨余垃圾
"
5092,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是鸡毛掸,根据垃圾分类的标准，应该属于其他垃圾
"
5093,图中展示的物品是[wood]，根据垃圾分类的标准，应该属于[garbage_type],"图中展示的物品是木制玩具,根据垃圾分类的标准，应该属于可回收物
"
5094,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
5095,图中展示的物品是玻璃瓶,"图中展示的物品是罐头瓶,根据垃圾分类的标准，应该属于可回收物
"
5096,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是吹风机,根据垃圾分类的标准，应该属于可回收物
"
5097,"图中展示的物品是[wood_object],根据垃圾分类的标准，应该属于[recyclable]","图中展示的物品是木制切菜板,根据垃圾分类的标准，应该属于可回收物
"
5098,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是木制玩具,根据垃圾分类的标准，应该属于可回收物
"
5099,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是八宝粥,根据垃圾分类的标准，应该属于厨余垃圾
"
5100,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾
"
5101,图中展示的物品是面包，根据垃圾分类的标准，应该属于厨余垃圾,"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
5102,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是护肤品空瓶,根据垃圾分类的标准，应该属于可回收物
"
5103,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是陈皮,根据垃圾分类的标准，应该属于厨余垃圾
"
5104,图中展示的物品是{food}，根据垃圾分类的标准，应该属于{food},"图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
5105,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾
"
5106,"图中展示的物品是[garbage_object], 根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是巴旦木,根据垃圾分类的标准，应该属于厨余垃圾
"
5107,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是纸箱,根据垃圾分类的标准，应该属于可回收物
"
5108,图中展示的物品是玩具，根据垃圾分类的标准，应该属于可回收垃圾,"图中展示的物品是变形玩具,根据垃圾分类的标准，应该属于可回收物
"
5109,图中展示的物品是[card]，根据垃圾分类的标准，应该属于[垃圾],"图中展示的物品是地铁票,根据垃圾分类的标准，应该属于可回收物
"
5110,图中展示的物品是文件夹，根据垃圾分类的标准，应该属于其他垃圾。,"图中展示的物品是书,根据垃圾分类的标准，应该属于可回收物
"
5111,图中展示的物品是蔬菜,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
5112,图中展示的物品是纸张，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是信封,根据垃圾分类的标准，应该属于可回收物
"
5113,图中展示的物品是{tomato}，根据垃圾分类的标准，应该属于{food},"图中展示的物品是圣女果,根据垃圾分类的标准，应该属于厨余垃圾
"
5114,图中展示的物品是灯，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是灯罩,根据垃圾分类的标准，应该属于可回收物
"
5115,图中展示的物品是[thermos]，根据垃圾分类的标准，应该属于[recyclable],"图中展示的物品是保温杯,根据垃圾分类的标准，应该属于可回收物
"
5116,图中展示的物品是[garbage]，根据垃圾分类的标准，应该属于[garbage],"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
5117,图中展示的物品是玻璃瓶，根据垃圾分类的标准，应该属于玻璃,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
5118,图中展示的物品是玻璃制品，根据垃圾分类的标准，应该属于玻璃,"图中展示的物品是碗,根据垃圾分类的标准，应该属于可回收物
"
5119,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是保温杯,根据垃圾分类的标准，应该属于可回收物
"
5120,图中展示的物品是垃圾食品，根据垃圾分类的标准，应该属于垃圾食品,"图中展示的物品是饼干,根据垃圾分类的标准，应该属于厨余垃圾
"
5121,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是鸡翅,根据垃圾分类的标准，应该属于厨余垃圾
"
5122,"图中展示的物品是{kettle_object},根据垃圾分类的标准，应该属于{drainage}","图中展示的物品是烧水壶,根据垃圾分类的标准，应该属于可回收物
"
5123,图中展示的物品是玻璃瓶，根据垃圾分类的标准，应该属于玻璃垃圾。,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
5124,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是糕点,根据垃圾分类的标准，应该属于厨余垃圾
"
5125,"图中展示的物品是{glass_object},根据垃圾分类的标准，应该属于{glass}","图中展示的物品是烟灰缸,根据垃圾分类的标准，应该属于可回收物
"
5126,图中展示的物品是{no garbage}，根据垃圾分类的标准，应该属于{other},"图中展示的物品是鞋,根据垃圾分类的标准，应该属于可回收物
"
5127,"图中展示的物品是[wooden spoon],根据垃圾分类的标准，应该属于[recyclable]","图中展示的物品是木质锅铲,根据垃圾分类的标准，应该属于可回收物
"
5128,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是电熨斗,根据垃圾分类的标准，应该属于可回收物
"
5129,图中展示的物品是[garbage_object]，根据垃圾分类的标准，应该属于[garbage_type],"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物
"
5130,图中展示的物品是灯泡，根据垃圾分类的标准，应该属于可回收垃圾,"图中展示的物品是灯罩,根据垃圾分类的标准，应该属于可回收物
"
5131,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是卡,根据垃圾分类的标准，应该属于可回收物
"
5132,图中展示的物品是{bag}，根据垃圾分类的标准，应该属于{recycle}。,"图中展示的物品是购物纸袋,根据垃圾分类的标准，应该属于可回收物
"
5133,"图中展示的物品是{glass_object},根据垃圾分类的标准，应该属于{glass}","图中展示的物品是耳钉耳环,根据垃圾分类的标准，应该属于可回收物
"
5134,图中展示的物品是遥控器，根据垃圾分类的标准，应该属于电子废弃物。,"图中展示的物品是空调遥控器,根据垃圾分类的标准，应该属于可回收物
"
5135,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
5136,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是生肉,根据垃圾分类的标准，应该属于厨余垃圾
"
5137,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
5138,图中展示的物品是干果，根据垃圾分类的标准，应该属于干果,"图中展示的物品是牛肉干,根据垃圾分类的标准，应该属于厨余垃圾
"
5139,图中展示的物品是面包，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是饼干,根据垃圾分类的标准，应该属于厨余垃圾
"
5140,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是耳钉耳环,根据垃圾分类的标准，应该属于可回收物
"
5141,图中展示的物品是胶带，根据垃圾分类的标准，应该属于{有害垃圾},"图中展示的物品是胶带,根据垃圾分类的标准，应该属于其他垃圾
"
5142,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
5143,图中展示的物品是{food_container}，根据垃圾分类的标准，应该属于{recyclable},"图中展示的物品是碗,根据垃圾分类的标准，应该属于可回收物
"
5144,图中展示的物品是食物，根据垃圾分类的标准，应该属于垃圾食品,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
5145,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是蛋挞,根据垃圾分类的标准，应该属于厨余垃圾
"
5146,图中展示的物品是[wood]，根据垃圾分类的标准，应该属于[wood],"图中展示的物品是木质锅铲,根据垃圾分类的标准，应该属于可回收物
"
5147,图中展示的物品是汉堡包，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是汉堡,根据垃圾分类的标准，应该属于厨余垃圾
"
5148,图中展示的物品是纸杯，根据垃圾分类的标准，应该属于可回收垃圾。,"图中展示的物品是一次性杯子,根据垃圾分类的标准，应该属于其他垃圾
"
5149,图中展示的物品是蔬菜，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是粉条,根据垃圾分类的标准，应该属于厨余垃圾
"
5150,图中展示的物品是蔬菜,"图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
5151,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是放大镜,根据垃圾分类的标准，应该属于可回收物
"
5152,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是玻璃壶,根据垃圾分类的标准，应该属于可回收物
"
5153,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是护肤品空瓶,根据垃圾分类的标准，应该属于可回收物
"
5154,图中展示的物品是面包，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是菠萝包,根据垃圾分类的标准，应该属于厨余垃圾
"
5155,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是袜子,根据垃圾分类的标准，应该属于可回收物
"
5156,图中展示的物品是{wood}，根据垃圾分类的标准，应该属于{wood},"图中展示的物品是木制玩具,根据垃圾分类的标准，应该属于可回收物
"
5157,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
5158,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是哈密瓜,根据垃圾分类的标准，应该属于厨余垃圾
"
5159,图中展示的物品是[手表][机械][零件][机械部件][金属][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件][机械部件,"图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物
"
5160,"图中展示的物品是jar, 根据垃圾分类的标准，应该属于可回收垃圾","图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
5161,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是药品包装,根据垃圾分类的标准，应该属于有害垃圾
"
5162,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是纸巾,根据垃圾分类的标准，应该属于其他垃圾
"
5163,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是毛巾,根据垃圾分类的标准，应该属于其他垃圾
"
5164,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是粉条,根据垃圾分类的标准，应该属于厨余垃圾
"
5165,图中展示的物品是{fruit}，根据垃圾分类的标准，应该属于{fruit},"图中展示的物品是菠萝蜜,根据垃圾分类的标准，应该属于厨余垃圾
"
5166,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是碘伏空瓶,根据垃圾分类的标准，应该属于有害垃圾
"
5167,图中展示的物品是{bag}，根据垃圾分类的标准，应该属于{waste},"图中展示的物品是单肩包手提包,根据垃圾分类的标准，应该属于可回收物
"
5168,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是青菜,根据垃圾分类的标准，应该属于厨余垃圾
"
5169,"图中展示的物品是{ice cream},根据垃圾分类的标准，应该属于{food}","图中展示的物品是果冻,根据垃圾分类的标准，应该属于厨余垃圾
"
5170,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是地铁票,根据垃圾分类的标准，应该属于可回收物
"
5171,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是钢丝球,根据垃圾分类的标准，应该属于可回收物
"
5172,图中展示的物品是票，根据垃圾分类的标准，应该属于垃圾,"图中展示的物品是登机牌,根据垃圾分类的标准，应该属于可回收物
"
5173,"图中展示的物品是[玻璃容器],根据垃圾分类的标准，应该属于[其他垃圾]","图中展示的物品是保鲜盒,根据垃圾分类的标准，应该属于可回收物
"
5174,图中展示的物品是纸，根据垃圾分类的标准，应该属于可回收垃圾,"图中展示的物品是普通面包,根据垃圾分类的标准，应该属于厨余垃圾
"
5175,图中展示的物品是干肉制品，根据垃圾分类的标准，应该属于厨余垃圾。,"图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
5176,图中展示的物品是玻璃制品，根据垃圾分类的标准，应该属于可回收物,"图中展示的物品是玻璃器皿,根据垃圾分类的标准，应该属于可回收物
"
5177,图中展示的物品是电子元件，根据垃圾分类的标准，应该属于电子垃圾。,"图中展示的物品是电路板,根据垃圾分类的标准，应该属于可回收物
"
5178,"图中展示的物品是[egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg, egg","图中展示的物品是蛋,根据垃圾分类的标准，应该属于厨余垃圾
"
5179,图中展示的物品是玻璃制品，根据垃圾分类的标准，应该属于玻璃垃圾。,"图中展示的物品是灯罩,根据垃圾分类的标准，应该属于可回收物
"
5180,图中展示的物品是药品，根据垃圾分类的标准，应该属于垃圾食品,"图中展示的物品是保健品瓶,根据垃圾分类的标准，应该属于有害垃圾
"
5181,图中展示的物品是{toy}，根据垃圾分类的标准，应该属于{toy waste},"图中展示的物品是玩偶,根据垃圾分类的标准，应该属于可回收物
"
5182,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是变形玩具,根据垃圾分类的标准，应该属于可回收物
"
5183,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是碘伏空瓶,根据垃圾分类的标准，应该属于有害垃圾
"
5184,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是裤子,根据垃圾分类的标准，应该属于可回收物
"
5185,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是枕头,根据垃圾分类的标准，应该属于可回收物
"
5186,图中展示的物品是坚果，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是蚕豆,根据垃圾分类的标准，应该属于厨余垃圾
"
5187,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是信封,根据垃圾分类的标准，应该属于可回收物
"
5188,图中展示的物品是[spoon]，根据垃圾分类的标准，应该属于[tableware]。,"图中展示的物品是勺子,根据垃圾分类的标准，应该属于可回收物
"
5189,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是PE塑料袋,根据垃圾分类的标准，应该属于其他垃圾
"
5190,图中展示的物品是{no garbage}，根据垃圾分类的标准，应该属于{no garbage},"图中展示的物品是网卡,根据垃圾分类的标准，应该属于可回收物
"
5191,图中展示的物品是望远镜，根据垃圾分类的标准，应该属于废弃物品。,"图中展示的物品是望远镜,根据垃圾分类的标准，应该属于可回收物
"
5192,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是刀,根据垃圾分类的标准，应该属于可回收物
"
5193,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是螺丝刀,根据垃圾分类的标准，应该属于可回收物
"
5194,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是钟表,根据垃圾分类的标准，应该属于可回收物
"
5195,"图中展示的物品是[garbage_object],根据垃圾分类的标准，应该属于[garbage_type]","图中展示的物品是肠(火腿),根据垃圾分类的标准，应该属于厨余垃圾
"
5196,图中展示的物品是墨盒，根据垃圾分类的标准，应该属于废品,"图中展示的物品是打印机墨盒,根据垃圾分类的标准，应该属于可回收物
"
5197,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是木质梳子,根据垃圾分类的标准，应该属于可回收物
"
5198,图中展示的物品是菠萝，根据垃圾分类的标准，应该属于可回收物。,"图中展示的物品是菠萝,根据垃圾分类的标准，应该属于厨余垃圾
"
5199,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是甘蔗,根据垃圾分类的标准，应该属于厨余垃圾
"
5200,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是耳钉耳环,根据垃圾分类的标准，应该属于可回收物
"
5201,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是充电线,根据垃圾分类的标准，应该属于可回收物
"
5202,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}垃圾。","图中展示的物品是暖宝宝,根据垃圾分类的标准，应该属于可回收物
"
5203,图中展示的物品是[台灯]，根据垃圾分类的标准，应该属于[可回收物],"图中展示的物品是台灯,根据垃圾分类的标准，应该属于可回收物
"
5204,图中展示的物品是{cutting_board}，根据垃圾分类的标准，应该属于{food},"图中展示的物品是木制切菜板,根据垃圾分类的标准，应该属于可回收物
"
5205,"图中展示的物品是{garbage_object},根据垃圾分类的标准，应该属于{garbage_type}","图中展示的物品是单肩包手提包,根据垃圾分类的标准，应该属于可回收物
"
5206,图中展示的物品是[电子废弃物]，根据垃圾分类的标准，应该属于[电子垃圾],"图中展示的物品是电熨斗,根据垃圾分类的标准，应该属于可回收物
"
5207,图中展示的物品是刀，根据垃圾分类的标准，应该属于{厨余垃圾},"图中展示的物品是刀,根据垃圾分类的标准，应该属于可回收物
"
